plasma gas,stagnation pressure [kPa],heat flux [W/cm^2]
Air,0.4360000000000001,230.8351662821589
Air,0.7157,9.41502600131768
Air,0.7265,9.383514002107653
Air,1.0198,423.1972892245284
Air,2.5167,457.0941407743512
Air,10.0452,17.68321133904973
Air,10.103,536.5870236343787
Air,20.1893,39.39142083810536
Air,29.9463,213.7875551750947
Air,30.0456,444.6203744701311
CO2,0.6327,46.5148305275096
CO2,0.6369,38.69822842075683
CO2,0.8403,103.3409192888322
CO2,1.2792,189.3303254084663
CO2,1.7437,264.3717241983395
CO2,2.4887,334.2446305256265
CO2,10.0698,361.0583554054272
CO2,19.5467,36.77308484364153
CO2,19.6313,328.0338655520343
CO2,24.784,283.4054511851023
CO2,25.5776,234.0766895785474
CO2,25.5802,134.8355770310224
N2,0.8364000000000001,37.46889853398574
N2,0.8452999999999999,40.56248125034507
N2,1.1029,26.68299743669605
N2,1.173,23.96883371189145
N2,1.3875,227.600793805582
N2,1.8881,260.1310493281631
N2,7.0658,161.0268226529326
